x	y	m 5007	M 5007
217.0	30.0	27.475454225419526	-3.88375380726297
190.0	47.0	27.72772539724548	-3.631482635437017
248.0	53.0	27.557550147516814	-3.8016578851656817
178.0	74.0	28.040145619945328	-3.3190624127371677
228.0	95.0	28.02259516174209	-3.3366128709404066
292.0	103.0	27.93361570278202	-3.425592329900475
164.0	108.0	26.959202537371134	-4.400005495311362
175.0	114.0	27.648015295640896	-3.7111927370416
290.0	118.0	27.769526004510517	-3.5896820281719783
240.0	120.0	27.171117711626408	-4.188090321056087
204.0	126.0	27.130646221944147	-4.2285618107383485
280.0	126.0	27.04891023275833	-4.3102977999241645
145.0	129.0	27.200751168784116	-4.15845686389838
151.0	136.0	27.439408073267863	-3.9197999594146324
170.0	136.0	27.075972629846902	-4.283235402835594
196.0	138.0	27.946342284654435	-3.412865748028061
224.0	140.0	26.952290277749277	-4.406917754933218
108.0	144.0	27.462117681656373	-3.8970903510261223
168.0	152.0	27.940561182145622	-3.4186468505368737
87.0	157.0	27.172918652119243	-4.186289380563252
168.0	162.0	27.581535404723866	-3.77767262795863
174.0	166.0	27.846753681014192	-3.5124543516683033
112.0	166.0	27.91861192874294	-3.440596103939555
292.0	174.0	27.729768239367317	-3.6294397933151785
71.0	181.0	27.879000413069633	-3.4802076196128624
307.0	187.0	27.062912322819898	-4.296295709862598
140.0	194.0	27.19112057465177	-4.168087458030726
112.0	196.0	28.400063024842296	-2.959145007840199
277.0	200.0	27.242705243516106	-4.11650278916639
329.0	206.0	27.890605462524455	-3.4686025701580405
367.0	207.0	30.812609191711132	-0.5465988409713631
167.0	207.0	27.378420829411375	-3.9807872032711202
277.0	209.0	27.15447797004518	-4.204730062637317
302.0	212.0	27.59552707876213	-3.763680953920364
195.0	219.0	27.21276460686763	-4.146443425814866
265.0	219.0	26.978585527343583	-4.380622505338913
409.0	221.0	28.239416089702054	-3.1197919429804415
148.0	224.0	27.666105587826827	-3.6931024448556684
45.0	225.0	28.313786477771238	-3.0454215549112575
185.0	229.0	27.486285796961546	-3.8729222357209494
176.0	232.0	27.362584976245792	-3.996623056436704
301.0	234.0	27.34097295306723	-4.018235079615266
297.0	243.0	27.38718688252198	-3.972021150160515
157.0	255.0	27.91485572768719	-3.4443523049953058
177.0	256.0	27.20138739946325	-4.157820633219245
344.0	261.0	28.126909507828977	-3.232298524853519
164.0	270.0	27.69122357781869	-3.667984454863806
321.0	271.0	27.95713013375491	-3.402077898927587
208.0	272.0	27.348794350472637	-4.010413682209858
234.0	271.0	27.18391709448135	-4.175290938201144
133.0	279.0	27.962390076286162	-3.396817956396333
181.0	279.0	27.12290689635045	-4.236301136332045
315.0	282.0	27.675809634223846	-3.6833983984586496
271.0	285.0	27.54137454973428	-3.817833482948217
346.0	286.0	27.746006923363154	-3.6132011093193412
155.0	288.0	27.712267882463657	-3.646940150218839
246.0	288.0	27.56237503816535	-3.796832994517146
180.0	300.0	27.661701392171956	-3.6975066405105395
277.0	299.0	27.387304260059786	-3.97190377262271
219.0	305.0	27.832518698370883	-3.5266893343116124
128.0	307.0	27.6552199896985	-3.703988042983994
201.0	306.0	27.052808978971008	-4.306399053711488
249.0	308.0	27.17861779077628	-4.180590241906216
301.0	312.0	27.870128726677834	-3.489079306004662
156.0	320.0	27.730435212452683	-3.6287728202298126
321.0	329.0	27.72412205060281	-3.635085982079687
191.0	331.0	27.706351108702982	-3.6528569239795132
268.0	333.0	27.42239701721396	-3.9368110154685354
214.0	336.0	27.639897860463392	-3.719310172219103
291.0	346.0	28.119650028887506	-3.23955800379499
246.0	351.0	27.990168705036837	-3.369039327645659
231.0	354.0	27.472681211298827	-3.8865268213836686
234.0	371.0	27.847820033003153	-3.511387999679343
229.0	384.0	27.282522266909545	-4.07668576577295
251.0	399.0	27.733505036913847	-3.6257029957686484
228.0	406.0	27.01837148627834	-4.340836546404155
