x	y	m 5007	M 5007
207.0	175.0	27.098127937092364	-4.374203193715601
262.0	179.0	28.295469203109583	-3.1768619276983827
332.0	204.0	28.501261705252595	-2.9710694255553705
225.0	231.0	27.24114743805749	-4.231183692750477
229.0	239.0	28.21102041037978	-3.2613107204281846
259.0	249.0	28.11359612168409	-3.358735009123876
230.0	258.0	27.757061218842203	-3.7152699119657626
247.0	262.0	28.425663973055656	-3.04666715775231
278.0	281.0	29.00774077170555	-2.4645903591024165
240.0	283.0	28.22075642908638	-3.2515747017215872
227.0	291.0	27.954400159932327	-3.517930970875639
192.0	299.0	28.211946540160838	-3.260384590647128
267.0	300.0	28.602455515861173	-2.8698756149467926
235.0	314.0	27.97348931756286	-3.4988418132451073
267.0	317.0	28.506243205398484	-2.9660879254094823
280.0	325.0	27.80861733386495	-3.6637137969430142
264.0	330.0	27.912439777972345	-3.5598913528356206
301.0	333.0	27.99055955610904	-3.481771574698925
235.0	339.0	27.659606396604026	-3.8127247342039396
256.0	346.0	27.257813265506513	-4.214517865301453
225.0	350.0	28.25583946818908	-3.2164916626188855
259.0	359.0	27.36950087854583	-4.102830252262137
266.0	360.0	27.924676826456086	-3.5476543043518802
224.0	359.0	28.220798840945363	-3.2515322898626025
236.0	364.0	28.122204270335708	-3.3501268604722583
267.0	369.0	27.462198495899116	-4.0101326349088495
272.0	379.0	28.343931711166128	-3.1283994196418377
237.0	386.0	28.000240634841887	-3.4720904959660785
242.0	388.0	27.89754379290494	-3.5747873379030253
231.0	393.0	28.160204824548437	-3.312126306259529
219.0	408.0	27.70576165959381	-3.7665694712141544
